osmid,name,coordinates,length
61320165,Avenue du Docteur Gley,"[(2.4103357, 48.8772232), (2.4103083, 48.8772292), (2.4101388, 48.8772684), (2.4100153, 48.8774595), (2.4097979, 48.8777651), (2.4096659, 48.8777726)]",6
61509922,Rue Ricaut,"[(2.3622569, 48.8302821), (2.362211, 48.830241)]",2
61785704,,"[(2.3498615, 48.8321024), (2.349879, 48.8320883), (2.3499045, 48.8320676)]",3
62120168,Boulevard de Charonne,"[(2.3959136, 48.8543083), (2.3959048, 48.8542574), (2.3959359, 48.8542171), (2.3961813, 48.8538969), (2.3962607, 48.8537961), (2.3962712, 48.8537825), (2.3963042, 48.8537389), (2.3968632, 48.8530202), (2.3969678, 48.8528856), (2.3970117, 48.8528293), (2.3976457, 48.8520127), (2.398129, 48.8513901), (2.3981423, 48.851373)]",13
62273464,,"[(2.3770312, 48.8865103), (2.3770622, 48.8864799)]",2
62791928,Rue Juliette Dodu,"[(2.370327, 48.8741466), (2.3702513, 48.8741323), (2.3702068, 48.8741218), (2.3701715, 48.8741249), (2.3701376, 48.87413), (2.3700861, 48.8741595), (2.3693686, 48.8751145), (2.3693315, 48.875166), (2.3693022, 48.8752067), (2.3692092, 48.8753164), (2.3691901, 48.8753413), (2.3691492, 48.8753945), (2.368966, 48.8756332), (2.3689606, 48.8756403), (2.3689348, 48.8756739), (2.36868, 48.8760113), (2.3686452, 48.8760585), (2.3686235, 48.8760867), (2.36854, 48.8761304), (2.3685092, 48.8761438)]",20
64044949,Avenue du Tremblay,"[(2.4648506, 48.8253032), (2.4649811, 48.8245599), (2.4650974, 48.8241424)]",3
64044950,Avenue du Tremblay,"[(2.4646538, 48.8263031), (2.4648506, 48.8253032)]",2
64044951,Avenue du Tremblay,"[(2.4645132, 48.8269143), (2.4645899, 48.8266067), (2.4646538, 48.8263031)]",3
64609511,Pont au Change,"[(2.3464808, 48.8561977), (2.3465006, 48.8562571), (2.3465055, 48.8562653)]",3
66171611,Boulevard des Invalides,"[(2.3152911, 48.8495176), (2.3152686, 48.849559), (2.3149647, 48.8501164), (2.3147746, 48.8504813), (2.3146927, 48.8506249), (2.3146577, 48.8507184), (2.3146246, 48.850853), (2.3146062, 48.850996), (2.3146149, 48.8511009), (2.314625, 48.8511923), (2.3146888, 48.8517454), (2.3146917, 48.8517824)]",12
66942023,,"[(2.3572345, 48.8814221), (2.3572936, 48.8814122), (2.3573124, 48.8814075), (2.3573264, 48.8813985), (2.3573405, 48.8813892), (2.3573506, 48.8813738), (2.3573503, 48.8813531), (2.3573425, 48.8813204), (2.3571092, 48.8808226), (2.3570462, 48.8806846), (2.3570017, 48.8805941), (2.3569812, 48.880553)]",12
68248620,Boulevard des Batignolles,"[(2.3203573, 48.8820419), (2.3203331, 48.8820366), (2.3203016, 48.8820302), (2.3188854, 48.8817449), (2.3188533, 48.8817384), (2.3188127, 48.8817296), (2.3187678, 48.8817203), (2.3179269, 48.8815458), (2.3170229, 48.8813751), (2.3169426, 48.8813682)]",10
68283473,Boulevard des Batignolles,"[(2.3170106, 48.8812327), (2.3169819, 48.8812899), (2.3169612, 48.8813311)]",3
73084934,Avenue Jean Jaurès,"[(2.394332, 48.8890215), (2.3947793, 48.8891384), (2.3950419, 48.8892041), (2.3953457, 48.8892797)]",4
74864537,Avenue Corentin Cariou,"[(2.3833539, 48.8958128), (2.383325, 48.8957875), (2.3833203, 48.8957835), (2.3827244, 48.8952809), (2.3827166, 48.8952649), (2.3826896, 48.8952092)]",6
76597733,Boulevard de Charonne,"[(2.3894348, 48.8583655), (2.3896417, 48.8583121)]",2
76597734,Boulevard de Ménilmontant,"[(2.3890581, 48.8599375), (2.3889825, 48.8600937), (2.3888444, 48.8603725), (2.3887252, 48.8606233), (2.3884976, 48.8610915), (2.3877193, 48.8626533), (2.3877031, 48.8627049), (2.3876743, 48.8627941), (2.3876904, 48.8628572), (2.3876989, 48.8628785)]",10
76607823,Rue des Fougères,"[(2.4103604, 48.8733296), (2.410349, 48.8732831), (2.4103629, 48.8732454), (2.4106472, 48.8722655), (2.4106709, 48.872069), (2.4107393, 48.871463), (2.4107506, 48.8713468), (2.4107619, 48.8712379), (2.4107768, 48.8710775)]",9
76607824,Rue Léon Frapié,"[(2.4130448, 48.874089), (2.4129407, 48.8740348), (2.412891, 48.8740217), (2.4122333, 48.8738477), (2.4119798, 48.8737803), (2.4118715, 48.8737511), (2.411303, 48.8735977)]",7
76607825,Quai de la Gironde,"[(2.3854741, 48.8923171), (2.3855449, 48.8923959), (2.3856106, 48.8924722), (2.3856373, 48.8925188), (2.3856409, 48.8925654), (2.3856283, 48.8926016), (2.3855985, 48.892634), (2.3855565, 48.8926874), (2.3852438, 48.893187), (2.3851235, 48.8933887), (2.3849849, 48.893605), (2.384906, 48.8937308), (2.3848125, 48.8938825), (2.3843523, 48.8946185), (2.3841201, 48.8949852), (2.3840787, 48.8950799), (2.3840495, 48.895145), (2.38373, 48.8956509), (2.3837294, 48.8956865), (2.3837131, 48.895718), (2.3836864, 48.8957637)]",21
77377009,Rue Albert Bayet,"[(2.3600249, 48.8296245), (2.359906, 48.8297269), (2.3596491, 48.829948), (2.3596138, 48.8299788), (2.3593571, 48.8302028), (2.3590732, 48.8304587), (2.3589835, 48.8305395), (2.3587997, 48.8307408), (2.358319, 48.8312957), (2.3583055, 48.8313235), (2.3583062, 48.8313289), (2.358305, 48.8313461), (2.3583202, 48.8314056)]",13
77384610,Boulevard Brune,"[(2.3235299, 48.8237788), (2.3234788, 48.8237906), (2.323443, 48.8237989), (2.323348, 48.82382), (2.3233358, 48.8238286), (2.3233271, 48.8238353), (2.3233204, 48.8238442), (2.3233157, 48.8238537)]",8
79092216,Piste Pierre et Ernest Michaux,"[(2.3137973, 48.864575), (2.3140104, 48.8645953), (2.3142836, 48.8646213), (2.3182762, 48.8646936), (2.318358, 48.8646777), (2.3184317, 48.8646513), (2.3185007, 48.8646076)]",7
82437170,Avenue de l'Hippodrome,"[(2.2380203, 48.8622123), (2.2381849, 48.8621969)]",2
83120633,Rue Traversière,"[(2.3738165, 48.8480115), (2.3738503, 48.8479381)]",2
83261049,Quai Voltaire,"[(2.3327081, 48.8585379), (2.3326938, 48.8585413), (2.3326271, 48.8585568), (2.3324869, 48.8585907), (2.3324159, 48.8586043), (2.3323257, 48.8586284), (2.3322781, 48.8586429), (2.3321716, 48.8586754)]",8
84163653,Boulevard de Clichy,"[(2.3291723, 48.8845103), (2.3291682, 48.8844771), (2.3291649, 48.8844508), (2.3291645, 48.8844422), (2.3289347, 48.8842946), (2.328345, 48.8839174), (2.3280361, 48.8837198), (2.3279569, 48.8836966), (2.3278142, 48.8836699), (2.3277778, 48.8836656), (2.32768, 48.8836527)]",11
84163655,Boulevard de Clichy,"[(2.3278228, 48.8835413), (2.3278548, 48.883553), (2.3281714, 48.8836792), (2.3284425, 48.8838535), (2.3292794, 48.88439), (2.329304, 48.8843892), (2.3294502, 48.884409)]",7
87260025,Avenue de la Porte des Poissonniers,"[(2.3520398, 48.900889), (2.3520436, 48.9008686), (2.352239, 48.8998211), (2.3522591, 48.8997134), (2.3522637, 48.8996892)]",5
88208905,Route de Suresnes,"[(2.2317993, 48.8663585), (2.2322982, 48.8662018), (2.2325749, 48.8661016), (2.2328568, 48.8659896), (2.2330711, 48.8658943), (2.2334594, 48.8657152), (2.2340521, 48.8654343), (2.2344663, 48.8652383), (2.2345981, 48.865174), (2.2346852, 48.8651309)]",10
89436036,Avenue Benoît Frachon,"[(2.415591, 48.8520947), (2.4155689, 48.852205)]",2
93327245,Route de la Tourelle,"[(2.4231939, 48.8427877), (2.423425, 48.8426009), (2.423525, 48.84252), (2.423556, 48.8424921), (2.4238065, 48.8422668), (2.4239203, 48.8421742), (2.4241253, 48.8420074), (2.4242785, 48.8419043), (2.4243918, 48.8418492)]",9
93727545,Boulevard Poniatowski,"[(2.4025431, 48.8333705), (2.4025636, 48.8333796), (2.4026223, 48.8334215), (2.4026719, 48.833454), (2.4026946, 48.8334664), (2.402879, 48.8335421), (2.4034929, 48.8337578), (2.4036033, 48.8337741), (2.4036756, 48.8337999), (2.4037713, 48.8338381), (2.4038249, 48.8338795), (2.4046016, 48.8341691), (2.4047801, 48.8342354), (2.4048098, 48.8342544), (2.404923, 48.8343271), (2.4054746, 48.8346477), (2.405616, 48.8347299), (2.4056902, 48.8347718), (2.4057336, 48.8347983), (2.405773, 48.834822), (2.4058079, 48.8348437), (2.4062669, 48.8351237), (2.4067704, 48.8351666), (2.4068097, 48.83517), (2.4068403, 48.8351772)]",25
93732842,Boulevard Poniatowski,"[(2.3979695, 48.8315557), (2.3979203, 48.8315355), (2.3978927, 48.831523), (2.3978665, 48.8315138), (2.3976065, 48.8314888), (2.3972685, 48.8313359)]",6
93732850,Boulevard Masséna,"[(2.3734119, 48.8227901), (2.3748514, 48.8232776), (2.3749929, 48.8233255)]",3
93742441,Avenue de la Porte Brunet,"[(2.3972081, 48.8837532), (2.3972577, 48.8837618), (2.3982206, 48.8839303), (2.398243, 48.8839342), (2.3983119, 48.8840212), (2.3983754, 48.8840485)]",6
93742443,Boulevard Sérurier,"[(2.3952663, 48.8905486), (2.3952422, 48.8906519), (2.3948929, 48.8920506), (2.3948078, 48.8924421), (2.3947433, 48.8927089), (2.3944639, 48.8938647), (2.3942336, 48.8947854), (2.3941681, 48.8949744), (2.3940814, 48.8951685)]",9
93742444,Place de la Porte de Pantin,"[(2.3955065, 48.8898487), (2.3955188, 48.8898057), (2.3955352, 48.8897479), (2.3954823, 48.8896883), (2.3954433, 48.8896237), (2.3953997, 48.8895603), (2.3953649, 48.8895359), (2.395325, 48.8895193), (2.3952787, 48.8894998)]",9
93775895,Boulevard Davout,"[(2.4105852, 48.8525606), (2.4105785, 48.8526041), (2.410503, 48.8530068)]",3
93775914,Boulevard Davout,"[(2.4105852, 48.8525606), (2.410639, 48.852345), (2.4106572, 48.8522498), (2.4106878, 48.85209), (2.4107999, 48.8516084), (2.41083, 48.8512012), (2.4108413, 48.8511499), (2.4109067, 48.8508517), (2.4110869, 48.8498405), (2.4111015, 48.8497364), (2.4111887, 48.8491902)]",11
93775918,,"[(2.410721, 48.8525708), (2.4107893, 48.852576), (2.4108392, 48.8525799), (2.410916, 48.8525856)]",4
93799620,,"[(2.4018261, 48.8792012), (2.4017685, 48.8792036), (2.4016664, 48.8792087), (2.401624, 48.879211), (2.4015676, 48.8792139)]",5
96795716,Quai Marcel Boyer,"[(2.3887119, 48.8250216), (2.3887371, 48.825011), (2.3887771, 48.8249948)]",3
96828516,Avenue Maurice Thorez,"[(2.3745074, 48.8183865), (2.3740917, 48.8188697), (2.3739929, 48.8189881), (2.3737426, 48.819271), (2.3736747, 48.8193518), (2.3736756, 48.8193559), (2.3737246, 48.8193884), (2.3737097, 48.8194071)]",8
100067019,Quai d'Austerlitz,"[(2.3651767, 48.8440177), (2.3652235, 48.8440142), (2.3652571, 48.8439963), (2.3656116, 48.8437351), (2.3661948, 48.8433105), (2.3662328, 48.8432854)]",6
101087105,Boulevard Richard-Lenoir,"[(2.3698667, 48.8657895), (2.3698483, 48.865814), (2.3698412, 48.8658399), (2.3698329, 48.8658696), (2.3697706, 48.8659485), (2.3697189, 48.8659803), (2.3696566, 48.866062), (2.3695838, 48.8661557)]",8
101087108,Boulevard Richard-Lenoir,"[(2.3720652, 48.8601422), (2.3720351, 48.8600725)]",2
105586429,Route de Suresnes,"[(2.2346852, 48.8651309), (2.2347956, 48.8651153), (2.2349134, 48.8650396), (2.2349961, 48.8649335), (2.2355056, 48.8646435), (2.2360411, 48.8644201), (2.2362448, 48.8643168), (2.236396, 48.8642768), (2.2365807, 48.8641576), (2.23672, 48.8640894), (2.2371969, 48.8639274), (2.2376936, 48.8637988), (2.2380633, 48.8637362), (2.2383359, 48.8636887), (2.2387348, 48.8636437), (2.2388942, 48.8636371), (2.2390458, 48.8636447), (2.2391527, 48.8636599)]",18
109655132,Rue Riquet,"[(2.3670008, 48.8897983), (2.3645245, 48.8899177)]",2
112000029,Rue de Crimée,"[(2.3796279, 48.88818), (2.3796173, 48.8881498), (2.3798337, 48.8879542), (2.3798523, 48.8879367), (2.3798525, 48.8879083)]",5
112184611,La Coulée Verte,"[(2.3055531, 48.8286123), (2.3054867, 48.8285666), (2.3047879, 48.8280174)]",3
113222457,Avenue Daumesnil,"[(2.3815682, 48.8443578), (2.3815512, 48.8443653), (2.3809006, 48.8446739), (2.3804195, 48.844904), (2.3799538, 48.8451265), (2.3798841, 48.8451601), (2.3794385, 48.8453765), (2.3780629, 48.8460436), (2.3777535, 48.8461914), (2.3776266, 48.8462595), (2.3774063, 48.8462793)]",11
113577231,Avenue Daumesnil,"[(2.3874222, 48.8414128), (2.3874544, 48.8414009), (2.3876985, 48.8413453), (2.3879632, 48.8412856), (2.3880324, 48.8412697), (2.3881721, 48.8412997)]",6
113824707,Rue Manin,"[(2.3853458, 48.8831113), (2.3853189, 48.8831019), (2.385296, 48.8830872), (2.3852784, 48.8830704), (2.3852605, 48.8830566), (2.3852446, 48.8830471), (2.3852186, 48.8830395), (2.3847396, 48.882997), (2.3844374, 48.8829654), (2.384229, 48.8829366), (2.3839947, 48.8828991), (2.3838599, 48.8828748), (2.383657, 48.8828343), (2.3834695, 48.8827934), (2.3832071, 48.8827295), (2.3831833, 48.8827203), (2.3831647, 48.8827089), (2.3831487, 48.8826892), (2.3831439, 48.8826754), (2.3831407, 48.8826663)]",20
118764515,Rue Abel,"[(2.3755121, 48.8475053), (2.3755436, 48.8475338), (2.3760205, 48.8482349), (2.3760273, 48.8482739), (2.3760335, 48.8483016), (2.3760085, 48.84835)]",6
119424944,Rue La Fayette,"[(2.3538912, 48.8785317), (2.3538606, 48.8785153), (2.3538038, 48.8784914), (2.3537577, 48.8784771), (2.3537059, 48.8784636), (2.3522605, 48.8780868), (2.3522009, 48.8780714), (2.3520591, 48.8780342), (2.3518112, 48.8779738), (2.3516837, 48.8779551), (2.3515952, 48.8779303)]",11
120519178,Rue de Trévise,"[(2.3455503, 48.8763544), (2.3455663, 48.8763304), (2.3455773, 48.8762984)]",3
123324299,Rue de Rivoli,"[(2.3481405, 48.8585361), (2.3480618, 48.8585624), (2.3476537, 48.8586927), (2.3474471, 48.8587581)]",4
124529055,Route des Lacs à Passy,"[(2.2606844, 48.8584446), (2.259962, 48.858486), (2.2595386, 48.8584828), (2.2593299, 48.858498), (2.2589311, 48.8584956)]",5
128522023,Rue Van Gogh,"[(2.3709576, 48.8436855), (2.3709185, 48.8437009), (2.3708932, 48.8436988), (2.370848, 48.8436782), (2.3708096, 48.8436495), (2.3707824, 48.8436122), (2.3707398, 48.8435817), (2.3706865, 48.8435593)]",8
130585693,,"[(2.4159055, 48.8468003), (2.4158593, 48.8468059), (2.4158281, 48.8468096)]",3
130587514,Avenue de la Porte de Vincennes,"[(2.4135742, 48.84701), (2.4135331, 48.8470146), (2.4135, 48.8470186), (2.4117694, 48.8471687), (2.4116996, 48.8471738), (2.4116476, 48.8471786)]",6
131750928,Quai de la Rapée,"[(2.3677221, 48.8458405), (2.367742, 48.8458252), (2.3677832, 48.8457915), (2.3678116, 48.8457762), (2.3683174, 48.8453894), (2.3684036, 48.8453523)]",6
132021353,Boulevard du Général d'Armée Jean Simon,"[(2.3802496, 48.8250428), (2.3805026, 48.8251232), (2.3815554, 48.8254631)]",3
132021357,Boulevard du Général d'Armée Jean Simon,"[(2.3798892, 48.8252362), (2.3793367, 48.8250531), (2.3777743, 48.8245329), (2.37718, 48.8243366), (2.3771305, 48.8242852)]",5
138271035,Avenue de la Porte de Vincennes,"[(2.4155876, 48.8468329), (2.4155493, 48.8468363), (2.4153665, 48.8468527), (2.4153318, 48.8468595), (2.4152799, 48.8468867), (2.4151856, 48.8470064), (2.4151738, 48.8470556), (2.4151729, 48.847136), (2.4151482, 48.8471414)]",9
138271036,Avenue de la Porte de Vincennes,"[(2.4155253, 48.8464763), (2.4157557, 48.8464596)]",2
138271037,Avenue de la Porte de Vincennes,"[(2.4155253, 48.8464763), (2.4155337, 48.8465269)]",2
138271038,,"[(2.413538, 48.8468202), (2.4135317, 48.846787), (2.4135202, 48.8467267), (2.4135157, 48.8467032)]",4
138392573,Route de la Longue Queue,"[(2.2409043, 48.864175), (2.2408924, 48.8642291), (2.2408998, 48.8642926), (2.2410636, 48.8644041), (2.2411499, 48.8644629), (2.241345, 48.8646098), (2.2416495, 48.8647562), (2.2419143, 48.8648489), (2.2421336, 48.8649119), (2.2423019, 48.8649763), (2.2424339, 48.8650534), (2.2425955, 48.8651484), (2.2427874, 48.8652697), (2.2429168, 48.86535), (2.243304, 48.8656177), (2.2434559, 48.8657161), (2.2436061, 48.8657946), (2.2438328, 48.8658771), (2.2439985, 48.8659222), (2.2440724, 48.8659423), (2.2444846, 48.8660372), (2.2449499, 48.8661801), (2.2453657, 48.8663504), (2.2456916, 48.8665242), (2.2460429, 48.8667606), (2.2462276, 48.8669223), (2.2464238, 48.8671144), (2.2466062, 48.8673235), (2.2468007, 48.8675996), (2.2470045, 48.8678678), (2.2471735, 48.868046), (2.2473934, 48.8682171), (2.247954, 48.868588), (2.248145, 48.8686972), (2.248293, 48.8687883)]",35
139769212,Boulevard Sérurier,"[(2.401351, 48.8787353), (2.4014219, 48.8787091)]",2
150140702,,"[(2.3733202, 48.8454608), (2.3733057, 48.8455067), (2.3733186, 48.845569), (2.3728543, 48.845521), (2.372796, 48.8455124), (2.3727469, 48.8455101), (2.372707, 48.8455292), (2.3726896, 48.845554), (2.3727035, 48.8456015)]",9
152338318,Boulevard de Bercy,"[(2.3866728, 48.8392983), (2.3850195, 48.8395872)]",2
152338320,Boulevard de Bercy,"[(2.384281, 48.8395086), (2.3855456, 48.8392951)]",2
152338321,Boulevard de Bercy,"[(2.387903, 48.8390604), (2.3878728, 48.8390785), (2.3878349, 48.8390905), (2.3878302, 48.839092), (2.3866728, 48.8392983)]",5
152338322,Boulevard de Bercy,"[(2.3832297, 48.8396856), (2.384281, 48.8395086)]",2
152338326,Boulevard de Bercy,"[(2.3871986, 48.8389975), (2.3878, 48.8388957), (2.3880805, 48.8388466)]",3
152338327,Boulevard de Bercy,"[(2.3837783, 48.8398024), (2.3827834, 48.8399862), (2.3827478, 48.8399733)]",3
152338328,Boulevard de Bercy,"[(2.3855456, 48.8392951), (2.3871986, 48.8389975)]",2
152338329,Boulevard de Bercy,"[(2.3825461, 48.8398133), (2.3825866, 48.8398058), (2.3832297, 48.8396856)]",3
152338334,Boulevard de Bercy,"[(2.3850195, 48.8395872), (2.3839691, 48.8397693), (2.3837783, 48.8398024)]",3
152613297,,"[(2.4130123, 48.8372167), (2.4131095, 48.8372272)]",2
152613301,Boulevard de la Guyane,"[(2.412646, 48.83623), (2.4127315, 48.8362172)]",2
152613303,,"[(2.4128016, 48.8366459), (2.4128993, 48.8366701)]",2
153235594,Avenue de la Porte de Vincennes,"[(2.4115788, 48.8468219), (2.4116335, 48.8468172), (2.4131047, 48.8466894), (2.4134417, 48.8466579), (2.4134637, 48.8466555), (2.4135058, 48.8466513)]",6
153235610,Boulevard Soult,"[(2.4109144, 48.8454839), (2.4109768, 48.8456856), (2.4109907, 48.8457294), (2.411114, 48.8461309)]",4
153235611,Cours de Vincennes,"[(2.4107862, 48.8471963), (2.4107929, 48.847229), (2.4108001, 48.847264), (2.4108042, 48.8472837), (2.4108128, 48.8473257), (2.4108166, 48.847344), (2.4108211, 48.8473678)]",7
153235612,Boulevard Davout,"[(2.4111887, 48.8491902), (2.411243, 48.8490631)]",2
155081442,Boulevard Carnot,"[(2.4135058, 48.8466513), (2.4134945, 48.8466076), (2.4134857, 48.8465733), (2.413433, 48.8464002)]",4
159314598,,"[(2.3684903, 48.8501094), (2.3685414, 48.8501007), (2.3685676, 48.8500511)]",3
159889412,Boulevard Kellermann,"[(2.3445578, 48.8192479), (2.3446624, 48.819236), (2.3446822, 48.8192343), (2.3446894, 48.8192662), (2.3446986, 48.8192844), (2.3447167, 48.819299), (2.3447306, 48.8193074), (2.3447411, 48.819312), (2.344777, 48.8193169), (2.3448265, 48.8193236), (2.3450237, 48.8192974), (2.3451217, 48.8192925), (2.3452247, 48.8192992), (2.3452891, 48.8193098), (2.3452878, 48.8193229), (2.3452854, 48.819341), (2.3452805, 48.8193765), (2.3452808, 48.8194306), (2.3462757, 48.8197095), (2.3463114, 48.8197193)]",20
160727610,Avenue Ibsen,"[(2.4127754, 48.8666825), (2.4136712, 48.8673936), (2.4137407, 48.8674633), (2.4138169, 48.867526), (2.4138842, 48.8675683), (2.4139698, 48.867633)]",6
161286326,Rue Friant,"[(2.324298, 48.8257005), (2.3242461, 48.8256754), (2.3241864, 48.8255725), (2.3241368, 48.8255469), (2.3241169, 48.8255106), (2.3239303, 48.8251805), (2.3238988, 48.8251221), (2.3237905, 48.8249196), (2.3237657, 48.8248773), (2.3237314, 48.8248134), (2.3236057, 48.8245855), (2.323536, 48.8244478), (2.3235043, 48.8243875), (2.3234501, 48.8242846), (2.3232591, 48.8239224), (2.323249, 48.8239008), (2.3232345, 48.8238728), (2.3232208, 48.8238603), (2.3231957, 48.8238473), (2.323173, 48.8238206)]",20
161286331,Rue Poirier de Narçay,"[(2.323536, 48.8244478), (2.3235715, 48.8244398)]",2
161286877,Boulevard Brune,"[(2.3184024, 48.8248992), (2.318358, 48.8249389), (2.3183536, 48.8249419), (2.3182894, 48.8249491), (2.3182539, 48.8249548), (2.3182303, 48.824958), (2.3181421, 48.8249735), (2.3174259, 48.8251348), (2.316696, 48.8252957), (2.3162567, 48.8253927), (2.3149318, 48.8256851), (2.3145301, 48.8257734), (2.3141469, 48.8258608), (2.3140909, 48.8259175), (2.3138954, 48.8259588), (2.3131947, 48.8261131), (2.3130116, 48.8261541), (2.3129416, 48.8261672)]",18
161825592,Rue Van Gogh,"[(2.3720709, 48.8442085), (2.3725961, 48.8445695), (2.3737909, 48.8455152), (2.3738989, 48.8455755), (2.3739681, 48.8456112), (2.3740795, 48.8457059)]",6
162280819,Boulevard Carnot,"[(2.4131696, 48.8418491), (2.413307, 48.8418582), (2.4133169, 48.8418534), (2.4133347, 48.8418081), (2.4133611, 48.8417549), (2.4133903, 48.8415352), (2.4133839, 48.8414873), (2.4133712, 48.8414442), (2.4132918, 48.8413238), (2.4132371, 48.8412356), (2.4132182, 48.8411874)]",11
162384241,Rue de Rivoli,"[(2.3313399, 48.863996), (2.3312218, 48.864033), (2.3303188, 48.864321), (2.3302636, 48.8643392), (2.3302202, 48.8643536), (2.3301079, 48.8643906), (2.3294739, 48.864595), (2.3293906, 48.864622), (2.3292942, 48.8646533), (2.3275485, 48.8652151), (2.3275071, 48.8652285), (2.3274526, 48.8652463), (2.3272651, 48.8653053)]",13
162384242,Rue de Rivoli,"[(2.3391165, 48.8614667), (2.3389678, 48.8615314), (2.3389618, 48.8615333), (2.3371219, 48.8621175), (2.3370579, 48.8621384), (2.3369827, 48.8621629), (2.3367734, 48.8622312), (2.3367405, 48.8622419), (2.3365898, 48.862291), (2.3362139, 48.8624136), (2.3355585, 48.8626274), (2.3355231, 48.8626389), (2.3354801, 48.8626536), (2.3353566, 48.8626946), (2.3352562, 48.8627301), (2.3352505, 48.8627294), (2.335183, 48.8627512), (2.3350946, 48.8627797), (2.3349856, 48.862816), (2.3339218, 48.8631616), (2.3338823, 48.8631744)]",21
163098951,Boulevard du Général d'Armée Jean Simon,"[(2.3852431, 48.8271911), (2.3852168, 48.8271784), (2.3851796, 48.8271396), (2.3848854, 48.8269988), (2.384101, 48.8266223), (2.3839847, 48.8265728), (2.3839393, 48.826555), (2.3838589, 48.8265234), (2.3835275, 48.8264036), (2.3831568, 48.8262782), (2.3829007, 48.8261933), (2.382855, 48.826196), (2.3827898, 48.8261742), (2.3825775, 48.8261041)]",14
163098953,Pont National,"[(2.3882425, 48.8286281), (2.3868256, 48.8279375), (2.3854304, 48.827268)]",3
163788002,Rue de Châteaudun,"[(2.3431385, 48.8757236), (2.3430333, 48.8757383), (2.3427458, 48.8757534)]",3
164094068,Rue de Rivoli,"[(2.3423329, 48.8604054), (2.3421947, 48.8604515), (2.3421171, 48.860476), (2.341998, 48.8605137), (2.3419782, 48.86052)]",5
164094069,Rue de Rivoli,"[(2.3419782, 48.86052), (2.3412971, 48.8607557), (2.3412585, 48.8607689), (2.3411956, 48.86079), (2.3410743, 48.8608328), (2.3410272, 48.8608492), (2.3408208, 48.8609197)]",7
164886542,Quai de la Rapée,"[(2.386139, 48.8302421), (2.3861765, 48.8302664)]",2
164886546,Quai de Bercy,"[(2.3859268, 48.8304675), (2.3858841, 48.8304454)]",2
165814466,Boulevard Kellermann,"[(2.3551605, 48.8209991), (2.3551319, 48.8209582), (2.3551296, 48.8209315)]",3
166031131,Boulevard Diderot,"[(2.3874042, 48.8474195), (2.3874956, 48.8473576), (2.3875472, 48.847345), (2.3876448, 48.8473534), (2.3889765, 48.8475123), (2.3890677, 48.8475232), (2.3906454, 48.8476999), (2.3907655, 48.8477136), (2.392747, 48.8479368), (2.3929255, 48.847957), (2.3930755, 48.8479743), (2.3940449, 48.8480866), (2.3941789, 48.8481934)]",13
166031132,Boulevard Diderot,"[(2.3837048, 48.8470846), (2.3835667, 48.8470682), (2.3831487, 48.8470188), (2.3827759, 48.8469757), (2.3826291, 48.846973), (2.3825511, 48.8469588), (2.3823388, 48.8469344), (2.3818936, 48.8468857), (2.3818466, 48.8468787), (2.3818019, 48.8468686), (2.3817929, 48.8468665), (2.3817538, 48.8468576)]",12
166031133,Boulevard Diderot,"[(2.3943442, 48.8482123), (2.3942054, 48.848236), (2.3940402, 48.848263), (2.392895, 48.8481323), (2.3927774, 48.8481189), (2.392624, 48.848097), (2.3924845, 48.8480771), (2.390719, 48.8478775), (2.3890332, 48.8476872), (2.3889341, 48.8476758), (2.3877716, 48.8475423), (2.3876024, 48.8474415)]",12
166100242,Place Félix Éboué,"[(2.3949049, 48.8397274), (2.3948722, 48.8396676), (2.3948685, 48.8396384)]",3
166100245,Boulevard Diderot,"[(2.3770938, 48.8463654), (2.3770391, 48.8463206), (2.3770046, 48.8462935), (2.3769552, 48.8462767), (2.3762577, 48.8461952), (2.3761008, 48.8461769)]",6
166273072,Boulevard Lefebvre,"[(2.3052409, 48.8278741), (2.3050824, 48.82791), (2.3039196, 48.8281533), (2.3038703, 48.8281539), (2.3031385, 48.8283131)]",5
166273080,,"[(2.299028, 48.8291777), (2.2990129, 48.8291455)]",2
167189583,Place de la Concorde,"[(2.3214802, 48.8639947), (2.3214879, 48.863856)]",2
167951826,,"[(2.3611289, 48.8680792), (2.361148, 48.8681406), (2.3611644, 48.8681939), (2.361168, 48.8682057), (2.3611717, 48.8682191)]",5
168408839,Coulée Verte René-Dumont,"[(2.4044883, 48.8408092), (2.4045512, 48.8408043), (2.4046677, 48.8407953), (2.4048009, 48.8407831), (2.4048234, 48.8407809), (2.4049663, 48.8407681)]",6
169045459,Quai de Jemmapes,"[(2.3635398, 48.8740589), (2.3635684, 48.8740729), (2.363597, 48.8740869), (2.3635559, 48.8742106), (2.3635418, 48.8742772), (2.3635377, 48.8743397), (2.3635234, 48.8743471), (2.3635133, 48.8743573), (2.363512, 48.8744087), (2.363516, 48.874455), (2.3635234, 48.8744986), (2.3635401, 48.8745643), (2.3635572, 48.8746221), (2.3636005, 48.8747095), (2.3636974, 48.8748453), (2.3637309, 48.874855), (2.3639883, 48.8751538), (2.3642699, 48.8754816)]",18
171126698,Rue Saint-Denis,"[(2.3525038, 48.8695779), (2.3524941, 48.8695573), (2.3524284, 48.869414), (2.3524701, 48.8693914)]",4
