osmid,name,coordinates,length
36889671,Avenue de l'Hippodrome,"[(2.2382654, 48.8621464), (2.2384121, 48.8620659)]",2
36890708,Route des Moulins,"[(2.2334397, 48.8638836), (2.2334288, 48.8639237)]",2
36902446,Avenue de Fontenay,"[(2.4613026, 48.8401616), (2.4611637, 48.8399503), (2.4609523, 48.8397008), (2.460712, 48.839455), (2.460357, 48.8391562), (2.4602791, 48.8391403)]",6
36922578,Place d'Italie,"[(2.3571175, 48.8311534), (2.3570954, 48.8311833), (2.3570526, 48.8312412), (2.3569795, 48.8313406)]",4
36922586,Place d'Italie,"[(2.3547664, 48.8310299), (2.3547471, 48.8310394), (2.354713, 48.8310272), (2.3545794, 48.8309845), (2.3545303, 48.8309826)]",5
36942056,Avenue de l'Hippodrome,"[(2.2559533, 48.8582429), (2.2565459, 48.8583188), (2.2567444, 48.8583449), (2.2567841, 48.8583501), (2.2570447, 48.8583782), (2.2573997, 48.858408), (2.2575744, 48.8584192), (2.2577417, 48.8584217), (2.2579375, 48.8584177), (2.2581212, 48.8583878), (2.258284, 48.8583621), (2.2584461, 48.858347), (2.258588, 48.8583371), (2.2587238, 48.8583383), (2.2587761, 48.8583387)]",15
37029059,Place de la Bataille de Stalingrad,"[(2.3704282, 48.8827539), (2.3704654, 48.8827648), (2.3704822, 48.8827781)]",3
37030122,Quai de la Seine,"[(2.3788931, 48.8887899), (2.37881, 48.888752), (2.3785028, 48.8886008), (2.3780359, 48.8883601), (2.3773675, 48.8880247), (2.3772673, 48.8879745), (2.3771508, 48.8879168), (2.376845, 48.8877652), (2.3764441, 48.8875665), (2.3760379, 48.8873661), (2.3755823, 48.8871414), (2.3755362, 48.8871186), (2.3753655, 48.8870357), (2.3752852, 48.8869967), (2.3750648, 48.8868885), (2.374928, 48.8868213), (2.3746579, 48.8866872), (2.3745827, 48.8866499), (2.3744313, 48.8865747), (2.3744221, 48.8865701), (2.3738539, 48.8862876), (2.3732505, 48.8859859)]",22
37030123,Place de la Bataille de Stalingrad,"[(2.3691523, 48.8841009), (2.3691528, 48.8840153), (2.3694417, 48.8837674), (2.369787, 48.8837616), (2.3700525, 48.8835511), (2.3700176, 48.8832739), (2.3701346, 48.8831185), (2.3702723, 48.8830411)]",8
37074489,,"[(2.3757901, 48.838554), (2.3757753, 48.8385024)]",2
37074490,Quai de Bercy,"[(2.3813792, 48.8340098), (2.3819555, 48.833571), (2.3820627, 48.8334894), (2.3821591, 48.833409), (2.3821838, 48.8333885), (2.382558, 48.8330768), (2.3827056, 48.8329609), (2.3829736, 48.8327481), (2.3835339, 48.8322993), (2.3838035, 48.832084), (2.3840585, 48.8318852), (2.3857694, 48.8305359), (2.3858204, 48.8304957), (2.3858841, 48.8304454), (2.386139, 48.8302421), (2.386202, 48.8301925), (2.3863421, 48.8300821)]",17
37095741,Boulevard Richard-Lenoir,"[(2.3704398, 48.8555446), (2.3707867, 48.8563091), (2.3708603, 48.8564753)]",3
37095864,Boulevard Jules Ferry,"[(2.3671144, 48.8685799), (2.3672109, 48.8685879)]",2
37145386,Boulevard de Clichy,"[(2.3327805, 48.883659), (2.3328262, 48.8836458), (2.33284, 48.8836435), (2.3328914, 48.883635), (2.3329103, 48.8836319), (2.3340163, 48.8833046), (2.3348302, 48.8830637), (2.3349017, 48.8830425), (2.3368855, 48.8824464), (2.3369224, 48.8824353)]",10
37189043,Rue de Tanger,"[(2.3713185, 48.8892514), (2.371153, 48.8891532), (2.3707507, 48.8885027), (2.3707636, 48.8884729), (2.370625, 48.8882452), (2.3705133, 48.8880649), (2.3703259, 48.8877632), (2.3702882, 48.8877022), (2.3701323, 48.8874363), (2.3693612, 48.8867257), (2.3693193, 48.8866819), (2.3692898, 48.8866725), (2.369251, 48.8866315)]",13
37189604,Place de l'Île de la Réunion,"[(2.3982914, 48.8478909), (2.3983224, 48.8478877), (2.3984328, 48.8478767), (2.398906, 48.8478269), (2.3989642, 48.8478208), (2.3989766, 48.8478195), (2.399021, 48.8478149)]",7
37189638,Place des Antilles,"[(2.3990139, 48.8483713), (2.3989811, 48.8483745), (2.398704, 48.848401), (2.3984338, 48.8484269), (2.398381, 48.8484334)]",5
37190351,Place du Moulin de Javel,"[(2.2712243, 48.8402545), (2.2713071, 48.840199), (2.2715052, 48.8401491), (2.271748, 48.840076), (2.2717935, 48.8400266), (2.2718731, 48.839985)]",6
37192015,Cours de Vincennes,"[(2.410696, 48.8467714), (2.4107023, 48.846808), (2.4107117, 48.846852), (2.4107151, 48.846868), (2.410725, 48.8469155), (2.4107326, 48.8469516)]",6
37192030,Cours de Vincennes,"[(2.4111905, 48.8472744), (2.4111345, 48.8472749), (2.4110781, 48.8472419), (2.4110543, 48.8472296), (2.4110046, 48.8472039), (2.4109352, 48.8471863), (2.4107862, 48.8471963)]",7
37192057,Boulevard Davout,"[(2.4114787, 48.8479453), (2.4115867, 48.848698), (2.4116107, 48.8489379), (2.4116094, 48.8490184)]",4
37214873,Avenue Jean Jaurès,"[(2.3768499, 48.8845878), (2.3768297, 48.8845822), (2.3760585, 48.8843794), (2.3756708, 48.8842838), (2.3754374, 48.8842211), (2.3753938, 48.8841858), (2.3752042, 48.8841338), (2.374284, 48.8838935), (2.3735279, 48.8836937), (2.3733346, 48.8836455), (2.3732622, 48.8836379), (2.3732026, 48.8836317), (2.3731435, 48.8836168), (2.3716172, 48.8832194), (2.371593, 48.8831874), (2.3713215, 48.8831159), (2.3712467, 48.8831214), (2.370957, 48.8830441), (2.370938, 48.8830389), (2.3708519, 48.883054)]",20
37533352,Boulevard Marguerite de Rochechouart,"[(2.3418198, 48.8823648), (2.3419476, 48.8823898), (2.342097, 48.8824183), (2.343651, 48.8827228), (2.3437117, 48.8827128), (2.3438512, 48.8827409), (2.3440127, 48.8827732), (2.3443913, 48.8828485), (2.344455, 48.8828612)]",9
37533590,Boulevard de Rochechouart,"[(2.3400382, 48.8821127), (2.3399682, 48.8821227), (2.3398752, 48.8821051), (2.3398193, 48.8820945), (2.3397784, 48.8820868), (2.3397332, 48.8820983)]",6
37533591,Boulevard Marguerite de Rochechouart,"[(2.3466423, 48.8835003), (2.3465651, 48.8834147), (2.3465569, 48.8834056), (2.346529, 48.8833746), (2.3445423, 48.8829999), (2.3445015, 48.8830094), (2.3444305, 48.8829959), (2.3443932, 48.8829885), (2.3443316, 48.8829762), (2.3439525, 48.882901), (2.3438802, 48.8828867), (2.3437998, 48.8828735), (2.3435873, 48.8828292), (2.3435464, 48.8828011), (2.3420534, 48.8825062)]",15
39214807,Rue Le Vau,"[(2.410781, 48.871037), (2.4107969, 48.8708663), (2.4108277, 48.870598), (2.4108378, 48.8704563), (2.4108618, 48.8701168), (2.4108792, 48.8699723), (2.4108907, 48.8698779), (2.4109041, 48.8697379), (2.4109485, 48.8692793), (2.4109561, 48.8691988), (2.4109595, 48.8691578), (2.4109677, 48.8690751), (2.4110853, 48.8678957), (2.4110936, 48.8678015), (2.4111075, 48.8676207), (2.4111402, 48.8672326), (2.4111426, 48.8671896), (2.411199, 48.8666182), (2.41122, 48.8665658), (2.4112434, 48.8665056), (2.41126, 48.8664583), (2.411301, 48.8663618), (2.411522, 48.8657969), (2.4115348, 48.8657641)]",24
39230820,Rue Claude Decaen,"[(2.3967288, 48.8382218), (2.3967041, 48.8381736), (2.3970825, 48.8377356), (2.3971303, 48.8376814), (2.3971968, 48.8376079), (2.3976405, 48.8372736), (2.3976983, 48.8372481), (2.3977926, 48.8372519)]",8
39481288,Rue des Docteurs Déjérine,"[(2.4115433, 48.8572568), (2.4115321, 48.8570832), (2.4115273, 48.8570178), (2.4115373, 48.8569961), (2.4115616, 48.8569417), (2.411617, 48.8568845), (2.41195, 48.8562577), (2.4121512, 48.8556267), (2.4122101, 48.855419), (2.4121598, 48.8549332), (2.4121491, 48.8548304), (2.4121487, 48.8547877)]",12
39481363,Rue Louis Lumière,"[(2.4112817, 48.8607363), (2.4113006, 48.8606317), (2.4113032, 48.8606106), (2.4115906, 48.8589894), (2.4116147, 48.8588581), (2.4116396, 48.8587148), (2.4116535, 48.8586445), (2.411618, 48.8580925), (2.411577, 48.8573774), (2.4115725, 48.8573298), (2.4115495, 48.8572958), (2.4115433, 48.8572568)]",12
39481517,Avenue Ibsen,"[(2.4125927, 48.8666512), (2.4125779, 48.8666428), (2.4125578, 48.8666186), (2.412535, 48.8665846), (2.4125044, 48.8665405), (2.4121593, 48.866181), (2.4119443, 48.8659499), (2.4117797, 48.8657864), (2.4117446, 48.8657495), (2.4117073, 48.8657335), (2.411673, 48.8657282), (2.4116362, 48.865734), (2.4115658, 48.8657525), (2.4115348, 48.8657641)]",14
39749057,Avenue de la Porte du Pré Saint-Gervais,"[(2.4024945, 48.8820103), (2.4023202, 48.8819192), (2.4019843, 48.8815524), (2.4017933, 48.8813398), (2.4017116, 48.8812279), (2.4016709, 48.881168)]",6
40037023,Rue de Rivoli,"[(2.3512761, 48.8575375), (2.3509469, 48.8576403), (2.3509017, 48.8576538), (2.3506702, 48.8577258)]",4
40120453,Quai Panhard et Levassor,"[(2.3838861, 48.8288234), (2.383898, 48.8288134), (2.3839238, 48.8287885), (2.3839563, 48.8287571), (2.3840006, 48.8287156), (2.3842425, 48.828489), (2.3846807, 48.828076), (2.3847002, 48.8280577)]",8
40120624,Avenue de la Porte de Vitry,"[(2.3791335, 48.8211634), (2.3791694, 48.8212264), (2.3791687, 48.8212384), (2.3780851, 48.8227434), (2.378041, 48.8228059), (2.3778496, 48.8230771), (2.3774692, 48.823606), (2.377284, 48.8238586), (2.3772429, 48.8238691), (2.3771945, 48.8239411), (2.3771697, 48.8239747), (2.3771457, 48.8240118), (2.3770893, 48.8240304), (2.3770284, 48.8240505)]",14
40120632,Avenue de la Porte de Vitry,"[(2.3770284, 48.8240505), (2.3770334, 48.8240185), (2.3770425, 48.8239369), (2.3770457, 48.8238864), (2.3773775, 48.8234234), (2.377667, 48.8230194), (2.3777366, 48.8229222), (2.37776, 48.8228902), (2.3777893, 48.8228478), (2.3778113, 48.8228237), (2.3779054, 48.8226921), (2.3784951, 48.8218664), (2.3785756, 48.8217537), (2.3786172, 48.8217215), (2.3786483, 48.8216981), (2.3786678, 48.8216729), (2.378932, 48.8213036), (2.3790281, 48.8212544)]",18
40295309,Boulevard de Picpus,"[(2.4019896, 48.8437789), (2.4019405, 48.8437623), (2.4019148, 48.8437674), (2.4017492, 48.8437987), (2.4017371, 48.8438015), (2.4016888, 48.8438211), (2.401637, 48.8438435)]",7
40897651,Avenue Cartellier,"[(2.4120326, 48.8646703), (2.4122855, 48.8645237), (2.4125666, 48.8643592), (2.4126758, 48.8642709), (2.4127421, 48.8642084), (2.4127605, 48.8641968), (2.4127915, 48.8641834)]",7
