osmid,name,coordinates
1328200833,Boulevard Sérurier,"[(2.3996353, 48.8795781), (2.3997225, 48.8795467), (2.3998131, 48.8795172)]"
1328203026,Rue Belgrand,"[(2.3988668, 48.86485), (2.399014, 48.8648529), (2.3996789, 48.8648329), (2.3997554, 48.8648299)]"
1328203027,Rue Belgrand,"[(2.3997554, 48.8648299), (2.3998559, 48.8648259), (2.3999601, 48.8648218)]"
1328203028,Rue Belgrand,"[(2.3999601, 48.8648218), (2.4002731, 48.8648096), (2.4011209, 48.8647763), (2.4012634, 48.8647707)]"
1328203029,Rue Belgrand,"[(2.4012634, 48.8647707), (2.4013291, 48.8647681), (2.4014307, 48.8647641)]"
1328203030,Rue Belgrand,"[(2.4040898, 48.8646578), (2.4041866, 48.8646559), (2.4046134, 48.8646363)]"
1328203031,Rue Belgrand,"[(2.4046134, 48.8646363), (2.4047549, 48.8646333)]"
1328203062,Boulevard de l'Amiral Bruix,"[(2.2840987, 48.8774799), (2.2840348, 48.8774073), (2.2840002, 48.877359)]"
1328203063,Boulevard de l'Amiral Bruix,"[(2.2840002, 48.877359), (2.2839159, 48.8772414)]"
1328203139,Boulevard Arago,"[(2.3449903, 48.8349574), (2.3448714, 48.8350066), (2.3417259, 48.834871), (2.3416599, 48.8348682)]"
1328203140,Boulevard Arago,"[(2.3416599, 48.8348682), (2.3415939, 48.8348654), (2.3415319, 48.8348623)]"
1328203316,Place du Trocadéro et du 11 Novembre 1918,"[(2.287933, 48.8632906), (2.2878743, 48.8633117), (2.2877865, 48.863372), (2.2876872, 48.8634166), (2.287634, 48.8634444)]"
1328203317,Place du Trocadéro et du 11 Novembre 1918,"[(2.287634, 48.8634444), (2.2875603, 48.8634722), (2.2874545, 48.8635012)]"
1328203318,Place du Trocadéro et du 11 Novembre 1918,"[(2.2874545, 48.8635012), (2.2873798, 48.8635052), (2.2872651, 48.8635235), (2.2871826, 48.8635214), (2.2870509, 48.8635164), (2.2870032, 48.8635204)]"
1328203319,Place du Trocadéro et du 11 Novembre 1918,"[(2.2870032, 48.8635204), (2.2869204, 48.8635197), (2.2868453, 48.8635083)]"
1328203320,Place du Trocadéro et du 11 Novembre 1918,"[(2.2868453, 48.8635083), (2.2868021, 48.8634769), (2.2866358, 48.8634115), (2.2865718, 48.8634003)]"
1328203321,Place du Trocadéro et du 11 Novembre 1918,"[(2.2865718, 48.8634003), (2.2865298, 48.8633763), (2.286511, 48.863334)]"
1328203322,Place du Trocadéro et du 11 Novembre 1918,"[(2.286511, 48.863334), (2.2863729, 48.8631718)]"
1328203323,Place du Trocadéro et du 11 Novembre 1918,"[(2.2863729, 48.8631718), (2.2863383, 48.8631257), (2.2863346, 48.863076)]"
1328203324,Place du Trocadéro et du 11 Novembre 1918,"[(2.2863227, 48.8630062), (2.2863144, 48.8629576)]"
1328203325,Place du Trocadéro et du 11 Novembre 1918,"[(2.2863144, 48.8629576), (2.2863326, 48.8629163)]"
1328204137,Boulevard des Batignolles,"[(2.3243602, 48.8828998), (2.3243312, 48.8828944), (2.3242243, 48.8828735)]"
1328204138,Boulevard des Batignolles,"[(2.3242243, 48.8828735), (2.3242156, 48.8828524)]"
1328206547,Avenue de la Porte du Pré Saint-Gervais,"[(2.4016053, 48.8810565), (2.4015932, 48.8810318), (2.4014991, 48.880836), (2.4014454, 48.8806821), (2.4014099, 48.8805296), (2.4013826, 48.8803288), (2.40138, 48.8803018), (2.4013281, 48.8802728), (2.4012755, 48.8802573)]"
1328206548,Avenue de la Porte du Pré Saint-Gervais,"[(2.4016709, 48.881168), (2.4016269, 48.8811012), (2.4016053, 48.8810565)]"
1328208548,Boulevard des Batignolles,"[(2.3225761, 48.8824888), (2.322497, 48.8824396), (2.3219568, 48.882332), (2.3219334, 48.882338), (2.3218776, 48.8823267), (2.3218469, 48.8823206), (2.3217986, 48.8822952), (2.3210794, 48.8821517), (2.3210486, 48.8821733), (2.3208816, 48.882209), (2.3206422, 48.8821506), (2.3205667, 48.8821282), (2.320544, 48.8821215), (2.3205276, 48.8821167)]"
1328208551,Boulevard des Batignolles,"[(2.3205276, 48.8821167), (2.3204568, 48.8820959)]"
1328208552,Boulevard des Batignolles,"[(2.3204568, 48.8820959), (2.3204364, 48.8820736), (2.3204193, 48.8820555)]"
1328208553,Boulevard des Batignolles,"[(2.3204193, 48.8820555), (2.3203573, 48.8820419)]"
1328208558,Boulevard des Batignolles,"[(2.3169612, 48.8813311), (2.3169426, 48.8813682)]"
1328208560,Boulevard des Batignolles,"[(2.3170134, 48.8812271), (2.3170106, 48.8812327)]"
1328208561,Boulevard des Batignolles,"[(2.3167795, 48.8814312), (2.3167272, 48.8814672)]"
1328211061,Rue Saint-Jacques,"[(2.3449205, 48.8495796), (2.3449514, 48.84965)]"
1328211062,Rue Saint-Jacques,"[(2.3448847, 48.8495233), (2.3449205, 48.8495796)]"
1328213138,Avenue de l'Observatoire,"[(2.336539, 48.8395742), (2.3365621, 48.839513)]"
1328213139,Avenue de l'Observatoire,"[(2.3364946, 48.8398275), (2.3364985, 48.8398812)]"
1328213390,Avenue Georges Lafenestre,"[(2.3110906, 48.8249742), (2.311265, 48.8250803), (2.3114028, 48.8251767)]"
